First language,State,Region,Category,1991,2001,2011,1991_Per,2001_Per,2011_Per
Hindi,Uttar Pradesh,"Hindi, Central & East",Monolinguals,115579492,135734624,171969085,92.2,89.4,91.5
Hindi,Uttar Pradesh,"Hindi, Central & East",Atleast Bilinguals,9769000,16035507,16009970,7.8,10.6,8.5
Hindi,Uttar Pradesh,"Hindi, Central & East",English,9101384,13715482,11841998,7.3,9,6.3
Hindi,Rajasthan,"Hindi, North & West",Monolinguals,36573949,48588697,57774999,92.8,94.5,94.3
Hindi,Rajasthan,"Hindi, North & West",Atleast Bilinguals,2837019,2818519,3499275,7.2,5.5,5.7
Hindi,Rajasthan,"Hindi, North & West",English,2837019,2367845,2572419,7.2,4.6,4.2
Punjabi,Punjab,"Non-Hindi, North",Monolinguals,12480000,11784075,13053880,66.7,52.8,52.4
Punjabi,Punjab,"Non-Hindi, North",Atleast Bilinguals,6224461,10550294,11864005,33.3,47.2,47.6
Punjabi,Punjab,"Non-Hindi, North",English,4255294,7249605,7761505,22.8,32.5,31.1
Punjabi,Punjab,"Non-Hindi, North",Hindi,6027019,10174643,11434985,32.2,45.6,45.9
Hindi,Haryana,"Hindi, North & West",Monolinguals,11977578,15233754,18591722,79.9,82.5,83.3
Hindi,Haryana,"Hindi, North & West",Atleast Bilinguals,3004831,3227089,3730435,20.1,17.5,16.7
Hindi,Haryana,"Hindi, North & West",English,2624719,2944320,3267122,17.5,15.9,14.6
Hindi,Himachal Pradesh,"Hindi, North & West",Monolinguals,3513473,4958408,5396328,76.5,91.7,91.5
Hindi,Himachal Pradesh,"Hindi, North & West",Atleast Bilinguals,1082142,451350,499201,23.5,8.3,8.5
Hindi,Himachal Pradesh,"Hindi, North & West",English,966817,409451,434466,21,7.6,7.4
Konkani,Goa,"Non-Hindi, South",Monolinguals,220836,210485,208312,36.6,27.3,21.6
Konkani,Goa,"Non-Hindi, South",Atleast Bilinguals,381790,559403,755993,63.4,72.7,78.4
Konkani,Goa,"Non-Hindi, South",English,267426,373481,460603,44.4,48.5,47.8
Konkani,Goa,"Non-Hindi, South",Hindi,156142,289087,435387,25.9,37.5,45.2
MALAYALAM,Lakshadweep,"Non-Hindi, South",Monolinguals,36385,41723,42068,83.3,80.9,77.5
MALAYALAM,Lakshadweep,"Non-Hindi, South",Atleast Bilinguals,7293,9832,12196,16.7,19.1,22.5
MALAYALAM,Lakshadweep,"Non-Hindi, South",English,7293,8753,11110,16.7,17,20.5
MALAYALAM,Lakshadweep,"Non-Hindi, South",Hindi,5304,6612,7070,12.1,12.8,13
Tamil,Puducherry,"Non-Hindi, South",Monolinguals,557874,568838,781357,77.4,66,71
Tamil,Puducherry,"Non-Hindi, South",Atleast Bilinguals,162599,292664,319619,22.6,34,29
Tamil,Puducherry,"Non-Hindi, South",English,151748,278390,297905,21.1,32.3,27.1
Tamil,Puducherry,"Non-Hindi, South",Hindi,7204,16781,21451,1,1.9,1.9
Bengali,Andaman and Nicobar Islands,"Non-Hindi, South",Monolinguals,31142,30869,29615,48.1,33.7,27.3
Bengali,Andaman and Nicobar Islands,"Non-Hindi, South",Atleast Bilinguals,33564,60713,78817,51.9,66.3,72.7
Bengali,Andaman and Nicobar Islands,"Non-Hindi, South",English,16971,25140,22559,26.2,27.5,20.8
Bengali,Andaman and Nicobar Islands,"Non-Hindi, South",Hindi,31928,58346,77033,49.3,63.7,71
Hindi,Chandigarh,"Hindi, North & West",Monolinguals,209413,313410,425810,53.4,51.5,54.8
Hindi,Chandigarh,"Hindi, North & West",Atleast Bilinguals,182641,294808,350965,46.6,48.5,45.2
Hindi,Chandigarh,"Hindi, North & West",English,149029,244160,280858,38,40.1,36.2
Hindi,Chhattisgarh,"Hindi, Central & East",Monolinguals,,16584387,20708030,93.4,96.4,96.9
Hindi,Chhattisgarh,"Hindi, Central & East",Atleast Bilinguals,,626094,653897,6.6,3.6,3.1
Hindi,Chhattisgarh,"Hindi, Central & East",English,,429942,357741,6.6,2.5,1.7
Hindi,Jharkhand,"Hindi, Central & East",Monolinguals,,14169697,18680411,90.3,91.4,91.4
Hindi,Jharkhand,"Hindi, Central & East",Atleast Bilinguals,,1340890,1755615,9.7,8.6,8.6
Hindi,Jharkhand,"Hindi, Central & East",English,,927187,919688,8.7,6,4.5
Hindi,Uttarakhand,"Hindi, North & West",Monolinguals,,6731236,8059742,92.2,90.2,89.6
Hindi,Uttarakhand,"Hindi, North & West",Atleast Bilinguals,,735177,932372,7.8,9.8,10.4
Hindi,Uttarakhand,"Hindi, North & West",English,,630567,714478,7.3,8.4,7.9
Hindi,Delhi,"Hindi, North & West",Monolinguals,5498553,7506994,9514896,71.5,67,66.7
Hindi,Delhi,"Hindi, North & West",Atleast Bilinguals,2192078,3703849,4740630,28.5,33,33.3
Hindi,Delhi,"Hindi, North & West",English,2030525,3448217,4344605,26.4,30.8,30.5
Kashmiri,Jammu and Kashmir,"Non-Hindi, North",Monolinguals,,3333738,3785526,,61.4,56.7
Kashmiri,Jammu and Kashmir,"Non-Hindi, North",Atleast Bilinguals,,2091995,2895311,,38.6,43.3
Kashmiri,Jammu and Kashmir,"Non-Hindi, North",English,,782873,960893,,14.4,14.4
Kashmiri,Jammu and Kashmir,"Non-Hindi, North",Hindi,,176921,197054,,3.3,2.9
Gujarati,Dadra and Nagar Haveli and Daman and Diu,"Non-Hindi, West",Monolinguals,78967,89263,78097,64.2,56.1,39.5
Gujarati,Dadra and Nagar Haveli and Daman and Diu,"Non-Hindi, West",Atleast Bilinguals,43958,69901,119382,35.8,43.9,60.5
Gujarati,Dadra and Nagar Haveli and Daman and Diu,"Non-Hindi, West",Hindi,42426,67982,116890,34.5,42.7,59.2
Gujarati,Dadra and Nagar Haveli and Daman and Diu,"Non-Hindi, West",English,14594,20303,32591,11.9,12.8,16.5
Assamese,Assam,"Non-Hindi, North East",Monolinguals,9372473,8854314,9437684,72.3,68.1,62.5
Assamese,Assam,"Non-Hindi, North East",Atleast Bilinguals,3585615,4156164,5658113,27.7,31.9,37.5
Assamese,Assam,"Non-Hindi, North East",Hindi,2160224,2550271,3343113,16.7,19.6,22.1
Assamese,Assam,"Non-Hindi, North East",English,1828892,1911402,1674686,14.1,14.7,11.1
Manipuri,Manipur,"Non-Hindi, North East",Monolinguals,760110,789780,919592,68.5,62.4,60.4
Manipuri,Manipur,"Non-Hindi, North East",Atleast Bilinguals,350024,476318,602540,31.5,37.6,39.6
Manipuri,Manipur,"Non-Hindi, North East",Hindi,283416,272806,358912,25.5,21.5,23.6
Manipuri,Manipur,"Non-Hindi, North East",English,311103,430754,544239,28,34,35.8
Khasi,Meghalaya,"Non-Hindi, North East",Monolinguals,773689,880014,1087223,88,80.7,78.7
Khasi,Meghalaya,"Non-Hindi, North East",Atleast Bilinguals,105503,211073,295055,12,19.3,21.3
Khasi,Meghalaya,"Non-Hindi, North East",Hindi,43912,68496,98260,5,6.3,7.1
Khasi,Meghalaya,"Non-Hindi, North East",English,87919,176627,248225,10,16.2,18
Lushai/Mizo,Mizoram,"Non-Hindi, North East",Monolinguals,474013,513646,629805,91.5,78.9,78.5
Lushai/Mizo,Mizoram,"Non-Hindi, North East",Atleast Bilinguals,44086,136959,172958,8.5,21.1,21.5
Lushai/Mizo,Mizoram,"Non-Hindi, North East",Hindi,18162,41867,35262,3.5,6.4,4.4
Lushai/Mizo,Mizoram,"Non-Hindi, North East",English,33705,102356,143388,6.5,15.7,17.9
Ao,Nagaland,"Non-Hindi, North East",Monolinguals,118740,88424,123953,69.9,34.3,50.8
Ao,Nagaland,"Non-Hindi, North East",Atleast Bilinguals,51097,169076,120182,30.1,65.7,49.2
Ao,Nagaland,"Non-Hindi, North East",Hindi,15433,34658,15149,9.1,13.5,6.2
Ao,Nagaland,"Non-Hindi, North East",English,37438,111281,45133,22,43.2,18.5
Bengali,Tripura,"Non-Hindi, North East",Monolinguals,1669725,1796398,2045818,87.9,83.6,84.7
Bengali,Tripura,"Non-Hindi, North East",Atleast Bilinguals,229437,351596,368956,12.1,16.4,15.3
Bengali,Tripura,"Non-Hindi, North East",Hindi,67239,119421,230846,3.5,5.6,9.6
Bengali,Tripura,"Non-Hindi, North East",English,210446,301759,216561,11.1,14,9
Nissi/Dafla,Arunachal Pradesh,"Non-Hindi, North East",Monolinguals,127463,105350,147526,74,50.6,37.3
Nissi/Dafla,Arunachal Pradesh,"Non-Hindi, North East",Atleast Bilinguals,44686,102987,248219,26,49.4,62.7
Nissi/Dafla,Arunachal Pradesh,"Non-Hindi, North East",Hindi,38667,94234,234927,22.5,45.2,59.4
Nissi/Dafla,Arunachal Pradesh,"Non-Hindi, North East",English,13730,48433,106868,8,23.2,27
Nepali,Sikkim,"Non-Hindi, North East",Monolinguals,187948,203241,170482,73.3,60,44.6
Nepali,Sikkim,"Non-Hindi, North East",Atleast Bilinguals,68470,135365,211718,26.7,40,55.4
Nepali,Sikkim,"Non-Hindi, North East",Hindi,63342,118878,190536,24.7,35.1,49.9
Nepali,Sikkim,"Non-Hindi, North East",English,41258,73632,114386,16.1,21.7,29.9
